,honest_size,sybil_size,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
0,1000,2000,SybilRank,0.7182474,0.027624210318848916,0.6507368421052632,0.020775485707967695,0.8149229039991187,0.020475489410223573,0.616,0.015983370859875643,0.7016295006266986,0.017856655655409937,157.2,2.85657137141714,,
1,1000,2000,SybilBelief,0.2269254,0.003916611678479239,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.0,0.8,0.0,100.4,6.468384651518491,,
2,1000,2000,SybilSCAR,0.6293187,0.006908540624473447,0.6650526315789473,0.0014139959073410432,0.6667892700138401,0.001074232223988668,0.9946315789473683,0.004908018200789353,0.7983573748329846,0.001263148902703136,61.6,2.5768197453450252,,
3,1000,2000,SybilGCN-L2,0.67655715,0.008136988923428685,0.36133333333333334,0.011973912342791701,0.9532128109828457,0.022712137915097907,0.044631578947368425,0.020265276717657058,0.08445150376878344,0.03633563793048856,10990.4,433.755046080158,,
4,1000,2000,SybilGCN-L4,0.47015740000000006,0.008434348888029231,0.4585964912280701,0.02614918018791117,0.6174519998617771,0.010256033354679209,0.48989473684210527,0.07465184195266185,0.5436000628539973,0.051881164275859475,18782.6,794.0865444018051,,
5,1000,2000,SybilGCN-L8,0.2105165,0.008398753772137862,0.327578947368421,0.02121875973874824,inf,,0.04526315789473684,0.04420175351556107,0.07556650516830904,0.06913931853081674,203438.2,365875.39377574984,,
6,1000,2000,SybilRGCN-L2,0.7333175,0.03139883855336048,0.36750877192982456,0.011414245957247687,0.9694678283764822,0.0135166327588481,0.05305263157894737,0.017960868514187545,0.10001060530420607,0.032424325103866065,13214.8,387.48646427972164,,
7,1000,2000,SybilGAT-L2,0.69547855,0.07378073320579706,0.37607017543859644,0.018015280269159342,0.9127421216199842,0.1182340859462681,0.08326315789473684,0.05569346256835883,0.14453589478635548,0.08378477469983295,4558.6,2114.071389523069,,
8,1000,2000,SybilGAT-L4,0.7008385500000001,0.02020502083604465,0.5214736842105263,0.07211952733797808,0.8752096530700154,0.053404655376462815,0.34389473684210525,0.1663729415460049,0.4671615410434081,0.14061568825794546,1885.6,415.64629193582374,,
9,1000,2000,SybilGAT-L8,0.56584225,0.10301116437430459,0.4727017543859649,0.1066286635902648,inf,,0.28210526315789475,0.22226733921811925,0.3619415005691964,0.26104284448079107,2208.4,514.6340835972682,,
10,1000,4000,SybilRank,0.48191569999999995,0.03155247957467049,0.48454736842105267,0.01700322928429135,0.7823639054632374,0.016525129858658914,0.49273684210526314,0.011020756040849075,0.604656821673097,0.013225875115679336,281.2,3.867815921162743,,
11,1000,4000,SybilBelief,0.07368825,0.0019218610706812286,0.8,0.0,0.8,0.0,1.0,0.0,0.888888888888889,1.1102230246251565e-16,146.4,1.8547236990991407,,
12,1000,4000,SybilSCAR,0.56639225,0.016477113035207352,0.8,0.0,0.8,0.0,1.0,0.0,0.888888888888889,1.1102230246251565e-16,100.8,1.7204650534085253,,
13,1000,4000,SybilGCN-L2,0.528192825,0.008329577566794755,0.24176842105263158,0.007093955915165792,0.8840384247935958,0.016520237033554108,0.06036842105263157,0.011586839415709071,0.11272418391884602,0.02010683299930715,15548.0,1787.7078061025522,,
14,1000,4000,SybilGCN-L4,0.096131875,0.0064021502959943095,0.24585263157894738,0.1074725109477688,0.5181458789994624,0.14909751349731687,0.21810526315789475,0.20136531210629993,0.2719151212609287,0.22001815065690059,138445.4,196344.4638920079,,
15,1000,4000,SybilGCN-L8,0.06557135,0.002314661714484429,0.20252631578947367,0.003423238168282577,inf,,0.004421052631578948,0.006188184613346976,0.00869434367145994,0.012134374421434353,114742.4,124232.65565317357,,
16,1000,4000,SybilRGCN-L2,0.723205275,0.018263440875729033,0.2926736842105263,0.08185585871914239,0.9814822250134686,0.019659362072512315,0.12026315789473682,0.10882118296313381,0.19793992988223924,0.15566608714867336,213595.2,395311.7763180855,,
17,1000,4000,SybilGAT-L2,0.6198927750000001,0.06614835510121359,0.47654736842105266,0.13080097418461925,0.8612721882579042,0.0483766878439839,0.42257894736842105,0.2166762523627131,0.5327890221940029,0.17306691760167345,7202.0,1575.5545055630414,,
18,1000,4000,SybilGAT-L4,0.61298185,0.030867203455731133,0.42981052631578953,0.05147402432349157,0.9282064497964315,0.02837552235468696,0.3143157894736842,0.08012327759264698,0.46244311030711494,0.08707887336765527,480871.2,490872.7891087059,,
19,1000,4000,SybilGAT-L8,0.5,0.0,0.2,0.0,inf,,0.0,0.0,0.0,0.0,873387.4,171329.08855252806,,
20,1000,6000,SybilRank,0.43096290000000004,0.024269913896427422,0.46222556390977443,0.012226738376384444,0.817699682379725,0.011470731382017589,0.47947368421052633,0.007794687681236157,0.6044911357538475,0.009323136547586578,399.2,8.28009661779378,,
21,1000,6000,SybilBelief,0.0379836,0.0009170806495493036,0.8571428571428571,0.0,0.8571428571428571,0.0,1.0,0.0,0.9230769230769231,0.0,204.4,13.484806264830059,,
22,1000,6000,SybilSCAR,0.5330717666666667,0.012381095346714891,0.8571428571428571,0.0,0.8571428571428571,0.0,1.0,0.0,0.9230769230769231,0.0,293.0,285.72364270392467,,
23,1000,6000,SybilGCN-L2,0.4048329,0.00816968615122051,0.19948872180451127,0.01918353827249767,0.7902811761273523,0.02527744805411706,0.09189473684210527,0.03506444842349691,0.1620513666328976,0.055721139460616825,20063.0,1122.0288766337524,,
24,1000,6000,SybilGCN-L4,0.03929573333333334,0.001152925755776725,0.142406015037594,0.004421154926953199,0.6757855516893818,0.2375305308262286,0.014315789473684209,0.009653013569641598,0.027416310273346643,0.018228615271088044,314025.8,389132.63693470886,,
25,1000,6000,SybilGCN-L8,0.03499625,0.00093136291858282,0.14360902255639094,0.0015037593984962405,inf,,0.0009473684210526316,0.001894736842105263,0.0018851457496945364,0.0037702914993890725,161785.2,199592.77521633892,,
26,1000,6000,SybilRGCN-L2,0.7059732000000001,0.036625126263779346,0.2639398496240602,0.07422075026128597,0.9862719584699221,0.01714191054089033,0.14494736842105263,0.09222841557891462,0.241334099776344,0.1300158412456486,21384.0,3541.7189611825497,,
27,1000,6000,SybilGAT-L2,0.5605173333333333,0.14119618245590856,0.5060751879699248,0.21185844063750175,0.8459814004581527,0.064179694823934,0.49905263157894736,0.28630535326697254,0.5802296473590488,0.26637039656405226,223217.4,401489.18373156706,,
28,1000,6000,SybilGAT-L4,0.44061005,0.13471730413408087,0.3568721804511278,0.15634835740827574,0.8818061651596348,0.06825535037112128,0.29501754385964907,0.22580790557137004,0.3917414692904707,0.24896419132895475,519029.6,489978.7399422959,,
29,1000,6000,SybilGAT-L8,0.4490445,0.06465674902425973,0.21807518796992476,0.09642606190581715,inf,,0.11382456140350879,0.14374776993198396,0.16755471358487037,0.20917100865152402,1090574.6,930069.7733053365,,
30,2000,1000,SybilRank,0.6245685,0.0317066598571972,0.5830877192982455,0.0250285401880699,0.41801467599183956,0.024602625252200513,0.6393684210526317,0.03807908376653273,0.505522091236115,0.029891362612074358,167.8,5.3065996645686395,,
31,2000,1000,SybilBelief,0.22556384999999998,0.0027139601351162065,0.6666666666666666,0.0,inf,,0.0,0.0,0.0,0.0,99.6,7.08801805866774,,
32,2000,1000,SybilSCAR,0.6327231,0.01701957160565446,0.6649122807017545,0.002644413148268994,0.20416666666666666,0.19382838916021677,0.002105263157894737,0.002306200242127015,0.0041193863605225815,0.004462455768973549,311.0,493.00060851889424,,
33,2000,1000,SybilGCN-L2,0.68107165,0.005890174971085351,0.6707368421052632,0.003189703348031876,0.6534120295436365,0.10795589771917963,0.026526315789473683,0.02076007248104598,0.04977971532667748,0.038419988315834964,11796.8,923.1648606830743,,
34,2000,1000,SybilGCN-L4,0.4707426,0.009753540342614053,0.5098245614035088,0.06286050843799634,0.27036706438452385,0.008562361180868162,0.27242105263157895,0.10612364084790157,0.2553570266562736,0.07612287277372692,19673.8,948.5868225945372,,
35,2000,1000,SybilGCN-L8,0.21449125000000002,0.004881792483299547,0.46021052631578946,0.16887491478045297,inf,,0.4938947368421053,0.409549932016115,0.2677711762558378,0.21999310532289884,38789.2,21531.584859457045,,
36,2000,1000,SybilRGCN-L2,0.7251965,0.023401282774668596,0.6665263157894736,0.0018110158456931885,0.6392592592592592,0.3289222538965213,0.007789473684210525,0.00783768861852054,0.015104084408589808,0.01511056998060504,13611.4,911.5798593650477,,
37,2000,1000,SybilGAT-L2,0.71932125,0.05432891586531064,0.6668070175438596,0.00028070175438599243,inf,,0.00042105263157894734,0.0008421052631578947,0.0008403361344537815,0.001680672268907563,4429.4,2112.1196557013523,,
38,2000,1000,SybilGAT-L4,0.7169280499999999,0.00970458324504461,0.6313684210526316,0.06584670259425424,0.4799386375747462,0.05162821320434875,0.3178947368421053,0.3315418525616336,0.2899673001720312,0.16212963180443893,1610.0,157.661663063663,,
39,2000,1000,SybilGAT-L8,0.66920805,0.024452947092017365,0.608561403508772,0.02654969729757379,0.43946174726110776,0.019742514828168852,0.6029473684210526,0.10077461756665897,0.5035042119784506,0.03315635477317856,2067.0,192.7869290175037,,
40,4000,1000,SybilRank,0.4536033,0.020510362968143694,0.46298947368421056,0.01699686788810045,0.1683873851368199,0.016524724433291286,0.42778947368421055,0.041833862147316325,0.24165406389473673,0.02369010937685683,324.4,41.31149960967285,,
41,4000,1000,SybilBelief,0.074053275,0.0017065788408391804,0.8,0.0,inf,,0.0,0.0,0.0,0.0,162.4,9.134549797335389,,
42,4000,1000,SybilSCAR,0.580284,0.028136070007643215,0.8,0.0,inf,,0.0,0.0,0.0,0.0,123.8,15.535765188750762,,
43,4000,1000,SybilGCN-L2,0.528679175,0.006193849275995515,0.7131368421052631,0.17151710089748196,inf,,0.14063157894736844,0.2770590304812156,0.06454229332054713,0.12084702256257122,17597.8,2785.0106929776766,,
44,4000,1000,SybilGCN-L4,0.099428125,0.006798792782546034,0.3641263157894737,0.2493069165004422,inf,,0.1591578947368421,0.18562094637748192,0.06374492150703118,0.07257056557859305,30461.2,4482.045176032923,,
45,4000,1000,SybilGCN-L8,0.0660973,0.0011142249593327244,0.5577684210526316,0.29669967766373084,inf,,0.33052631578947367,0.40577493318204366,0.11632142887804844,0.14268970612665963,50557.8,4253.349193282865,,
46,4000,1000,SybilRGCN-L2,0.7126163499999999,0.027461801505272734,0.7982315789473683,0.0012881733508023979,inf,,0.0008421052631578947,0.0012275688199674317,0.0016504428960504498,0.002396017076671392,18308.4,3516.303206494002,,
47,4000,1000,SybilGAT-L2,0.7095264,0.03123434941358631,0.799957894736842,8.421052631581994e-05,inf,,0.0,0.0,0.0,0.0,18654.2,11795.250186409783,,
48,4000,1000,SybilGAT-L4,0.551372075,0.11665379843243957,0.6292631578947369,0.18305550677200833,0.15049242709582303,0.0551028019209432,0.23536842105263153,0.2944830486258552,0.14640001339800346,0.09963862440718757,126779.4,37142.138843098415,,
49,4000,1000,SybilGAT-L8,0.5724843749999999,0.014314823655916959,0.5429052631578948,0.029044514502994893,0.22134043818470572,0.01830696384897019,0.519578947368421,0.11568914313510661,0.3089386715108956,0.037774637412656735,185012.2,44433.635347110634,,
50,6000,1000,SybilRank,0.4209377666666666,0.01655521382982143,0.4491428571428571,0.007416690142358634,0.09944579592475936,0.007179872425616233,0.3545263157894737,0.025589125113995647,0.15532287282045987,0.01121260493813413,425.8,13.075167302944921,,
51,6000,1000,SybilBelief,0.035861166666666666,0.00040363474275086005,0.8571428571428571,0.0,inf,,0.0,0.0,0.0,0.0,213.2,12.056533498481228,,
52,6000,1000,SybilSCAR,0.5342653666666666,0.015093689243595207,0.8571428571428571,0.0,inf,,0.0,0.0,0.0,0.0,157.0,9.423375191511797,,
53,6000,1000,SybilGCN-L2,0.40886096666666666,0.0067504476612049,0.7930225563909776,0.12321814421331267,0.022653068990448645,0.028630796557435063,0.03452631578947369,0.06800488820625028,0.020211837060096428,0.0384432075319076,20823.8,1885.9583664545726,,
54,6000,1000,SybilGCN-L4,0.03890481666666666,0.0014345819623383924,0.28508270676691727,0.28605944169593633,inf,,0.7155789473684211,0.36263633027213504,0.18346760675817245,0.09257173101379665,41517.8,9596.88385675267,,
55,6000,1000,SybilGCN-L8,0.03435825,0.0003585993353777074,0.2876090225563909,0.2848011462696416,inf,,0.7290526315789474,0.36788749334033183,0.18669758454630464,0.09394878881703476,75918.6,24526.110206064066,,
56,6000,1000,SybilRGCN-L2,0.7079686000000001,0.038507739317260745,0.8546165413533835,0.0029733396186377064,inf,,0.0,0.0,0.0,0.0,21630.6,2294.8754737457975,,
57,6000,1000,SybilGAT-L2,0.64675175,0.03176694617378784,0.784812030075188,0.14458647789520554,inf,,0.1328421052631579,0.2656842105263158,0.054679376083188916,0.10935875216637785,30193.2,23961.78386013863,,
58,6000,1000,SybilGAT-L4,0.4657083999999999,0.10528075485090381,0.5046917293233083,0.22799205161727845,inf,,0.4711578947368421,0.36197708869814155,0.1670345500284862,0.09683203590449362,157012.4,38631.89869317841,,
59,6000,1000,SybilGAT-L8,0.5194625833333333,0.046319780224153596,0.4853233082706767,0.07567156360903057,0.14706507540528285,0.03576614507182381,0.5882105263157894,0.24181987756509093,0.23299773798350026,0.06673507071220529,260332.2,113108.31997585324,,
